"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"139","294","380.2","calcite","-8.873","-3.468","-11.1610108558122","-3.468","11.5744916544952","376.490359349613","-7.6863733918104","-7.76902889832007","392.070473181686"
"139","294","382.48","calcite","-8.943","-3.58","-11.3535087515433","-3.58","10.9879622628958","524.845049339031","-7.25648012660508","-7.69011050147922","450.019773830762"
"139","294","384.76","calcite","-9.002","-3.434","-11.3811179708197","-3.434","11.1496174879512","305.530199818521","-7.20141515782515","-8.50835834701435","330.882880078846"
"139","294","387.04","calcite","-8.915","-3.324","-11.4146741567024","-3.324","10.5507103538","501.931739744305","-7.85573528216848","-8.68101745529641","490.974159057792"
"139","294","389.32","calcite","-8.819","-3.215","-11.2076115793765","-3.215","11.0758511760734","427.508740342483","-6.96497401042355","-8.39718557067728","373.566347099062"
"139","294","391.6","calcite","-8.781","-3.186","-11.1839089658688","-3.186","11.000564618367","496.156870115035","-8.00336420654947","-8.71727134163493","448.43047115339"
"139","294","393.88","calcite","-8.896","-3.144","-11.2473317548693","-3.144","11.26901747238","464.573923126142","-7.25275066506345","-8.72541486710663","434.581595917024"
"139","294","396.16","calcite","-8.872","-3.409","-11.3271614198495","-3.409","10.7602688493571","383.558531835561","-8.12688384636751","-9.00755714438985","413.853606015623"
"139","294","398.44","calcite","-8.809","-3.087","-11.0914177190248","-3.087","11.5921457204114","449.756589121156","-7.62949447855854","-8.17008310238132","423.064432077655"
"139","294","400.72","calcite","-8.952","-3.432","-11.1956080205826","-3.432","11.803481367223","374.006113215453","-6.64953658422805","-7.55210826701139","365.182867320277"
"139","294","403","calcite","-8.79","-3.027","-11.0781485090904","-3.027","11.5612851620659","454.094096658232","-7.64661101252118","-7.91619260709378","432.905669183604"
"139","294","405.28","calcite","-8.956","-3.354","-11.2175605230995","-3.354","11.7162873186412","448.394326503731","-7.50055591752031","-9.21252091922291","438.741666219247"
"139","294","407.56","calcite","-8.883","-3.233","-11.1445307250954","-3.233","11.7053978804756","404.895600306079","-6.83098465268782","-7.4005032603607","364.937882006619"
"139","294","409.84","calcite","-8.871","-3.125","-11.1227922418379","-3.125","11.7512003571839","270.773119665076","-6.29945864160471","-7.17113823765306","342.226568863981"
"139","294","412.12","calcite","-8.917","-3.225","-11.251179251198","-3.225","11.3558062196374","426.981904726841","-7.67178493709198","-8.42949430008371","384.950897395956"
"139","294","414.4","calcite","-8.747","-3.263","-11.0890268827864","-3.263","11.2919153471969","344.881708212006","-7.82455892354501","-7.95827949227779","331.639565786458"
"139","294","416.68","calcite","-8.901","-3.564","-11.4272621173599","-3.564","10.4197414098387","342.958874463434","-6.81611208636405","-8.14816600483729","404.565627703524"
